Foundation URI,Linearization (release) URI,8Y,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2021 May 11 - 22:00 UTC
http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/2021-05/mms/257068234,1A00,,Cholera,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/78422942,http://id.who.int/icd/release/11/2021-05/mms/78422942,1A11,,Botulism,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1A0,BlockL2-1A1,,,,
http://id.who.int/icd/entity/433310499,http://id.who.int/icd/release/11/2021-05/mms/433310499,1A31,,Giardiasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A0,BlockL2-1A3,,,,
http://id.who.int/icd/entity/1837013982,http://id.who.int/icd/release/11/2021-05/mms/1837013982,1A32,,Cryptosporidiosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A0,BlockL2-1A3,,,,
http://id.who.int/icd/entity/137713224,http://id.who.int/icd/release/11/2021-05/mms/137713224,1A33,,Cystoisosporiasis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1A0,BlockL2-1A3,,,,
http://id.who.int/icd/entity/261748740,http://id.who.int/icd/release/11/2021-05/mms/261748740,1A34,,Sarcocystosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A0,BlockL2-1A3,,,,
http://id.who.int/icd/entity/1184241320,http://id.who.int/icd/release/11/2021-05/mms/1184241320,1A35,,Blastocystosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A0,BlockL2-1A3,,,,
http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/2021-05/mms/435671752,1A36,,Amoebiasis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1A0,BlockL2-1A3,,,,
http://id.who.int/icd/entity/455894495,http://id.who.int/icd/release/11/2021-05/mms/455894495,,BlockL2-1A6,Syphilis,block,2,FALSE,TRUE,1,browser,iCat,FALSE,4,,BlockL1-1A6,,,,,
http://id.who.int/icd/entity/2118246468,http://id.who.int/icd/release/11/2021-05/mms/2118246468,1A62.0,,Neurosyphilis,category,2,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1A6,BlockL2-1A6,,,,
http://id.who.int/icd/entity/900285196,http://id.who.int/icd/release/11/2021-05/mms/900285196,1A81,,Non-ulcerative sexually transmitted chlamydial infection,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1A6,BlockL2-1A8,,,,
,http://id.who.int/icd/release/11/2021-05/mms/900285196/other,1A81.Y,,Non-ulcerative sexually transmitted chlamydial infection of other specified site,category,2,TRUE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A6,BlockL2-1A8,,,,
,http://id.who.int/icd/release/11/2021-05/mms/900285196/unspecified,1A81.Z,,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,category,2,TRUE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A6,BlockL2-1A8,,,,
http://id.who.int/icd/entity/1357024926,http://id.who.int/icd/release/11/2021-05/mms/1357024926,1A90,,Chancroid,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A6,,,,,
http://id.who.int/icd/entity/1220564554,http://id.who.int/icd/release/11/2021-05/mms/1220564554,1A92,,Trichomoniasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1A6,,,,,
http://id.who.int/icd/entity/2072728114,http://id.who.int/icd/release/11/2021-05/mms/2072728114,,BlockL2-1B1,Tuberculosis,block,2,FALSE,TRUE,1,browser,iCat,FALSE,5,,BlockL1-1B1,,,,,
http://id.who.int/icd/entity/149072669,http://id.who.int/icd/release/11/2021-05/mms/149072669,1B20,,Leprosy,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1B1,,,,,
http://id.who.int/icd/entity/882647079,http://id.who.int/icd/release/11/2021-05/mms/882647079,1B21.1,,Non-tuberculous mycobacterial lymphadenitis,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B1,,,,,
,http://id.who.int/icd/release/11/2021-05/mms/1839818377/other,1B21.Y,,Non-tuberculous mycobacterial infection of other specified site,category,2,TRUE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B1,,,,,
,http://id.who.int/icd/release/11/2021-05/mms/1839818377/unspecified,1B21.Z,,Non-tuberculous mycobacterial infection of unspecified site,category,2,TRUE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B1,,,,,
http://id.who.int/icd/entity/1651247891,http://id.who.int/icd/release/11/2021-05/mms/1651247891,1B70.0,,Erysipelas,category,2,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1B7,,,,,
